,company,date,time,username,sentiment
0,Bajaj,4/17/2018,5:34,taxtmi,0
0,Bajaj,4/17/2018,5:02,dhanushgopinath,0
0,Bajaj,4/17/2018,3:51,lalitntb,0
0,Bajaj,4/17/2018,1:30,IndiaTodayNews1,0
0,Bajaj,4/17/2018,7:39,ChaalisChor,0.1967
0,Bajaj,4/17/2018,7:00,ankitgoyat08,0
0,Bajaj,4/17/2018,6:46,gmpurohit,0
0,Bajaj,4/16/2018,11:06,AKSHAYAPintu,0
0,Bajaj,4/16/2018,5:24,HarshalHalde,0.7548
0,Bajaj,4/16/2018,3:27,KailasP3,0
0,Bajaj,4/16/2018,3:18,indra93040664,0
0,Bajaj,4/16/2018,3:04,pintup8,0
0,Bajaj,4/16/2018,3:00,BeingEmraanShah,0
0,Bajaj,4/16/2018,2:57,niravbariya_007,0
0,Bajaj,4/16/2018,2:55,himalayanflame,0
0,Bajaj,4/16/2018,2:55,autobild1,0
0,Bajaj,4/16/2018,2:54,autobild1,0
0,Bajaj,4/16/2018,2:54,IndiaToday,0
0,Bajaj,4/16/2018,2:02,Mukesh86830404,0.128
0,Bajaj,4/16/2018,1:20,cheku1941,0
0,Bajaj,4/16/2018,12:49,arrpitta,-0.296
0,Bajaj,4/16/2018,12:27,sarveshdamle,0
0,Bajaj,4/16/2018,12:20,arrpitta,-0.296
0,Bajaj,4/16/2018,12:12,7squareYards,0
0,Bajaj,4/16/2018,12:09,AnmolMangat3922,0
0,Bajaj,4/16/2018,12:09,SaurabhSaggi,0
0,Bajaj,4/16/2018,12:08,prem01462285,0
0,Bajaj,4/16/2018,12:08,autobild1,0
0,Bajaj,4/16/2018,12:08,PratikR2811,0
0,Bajaj,4/16/2018,12:08,AUTOTODAYMAG,0
0,Bajaj,4/16/2018,12:08,IndiaToday,0
0,Bajaj,4/16/2018,11:21,steelguru,0.3612
0,Bajaj,4/16/2018,10:45,stocksnews9,-0.2263
0,Bajaj,4/16/2018,10:40,sharebossindia,-0.2263
0,Bajaj,4/16/2018,10:40,BSE_News,0
0,Bajaj,4/16/2018,9:47,ExpressDrives,0
0,Bajaj,4/16/2018,9:36,TechnTricksYT,0
0,Bajaj,4/16/2018,9:33,InvGurInd,0.5574
0,Bajaj,4/16/2018,9:16,hems_shah,0
0,Bajaj,4/16/2018,8:58,TeChWorlD3207,0
0,Bajaj,4/16/2018,8:42,bhavik_bhavsar,0
0,Bajaj,4/16/2018,8:41,qanuj,0
0,Bajaj,4/16/2018,8:41,yashrajm320,0
0,Bajaj,4/16/2018,8:11,Sag_Mart,0
0,Bajaj,4/16/2018,7:29,Nataraj02487541,0
0,Bajaj,4/16/2018,7:06,NewsBossIndia,0
0,Bajaj,4/16/2018,7:01,Bis_Sandeep,0
0,Bajaj,4/16/2018,7:00,News365247live,0
0,Bajaj,4/16/2018,6:59,StockViz,0
0,Bajaj,4/16/2018,6:57,ndtv,0
0,Bajaj,4/16/2018,6:51,carandbike,0
0,Bajaj,4/16/2018,6:04,aman2201886,0
0,Bajaj,4/16/2018,6:03,giveawaytugz,0
0,Bajaj,4/16/2018,6:00,giveawaydiyo,0
0,Bajaj,4/16/2018,5:59,sahneydeepak,0
0,Bajaj,4/16/2018,5:55,SENTHIL11674,0
0,Bajaj,4/16/2018,5:53,FinancialXpress,0
0,Bajaj,4/16/2018,4:57,sanjayduddupudi,-0.5423
0,Bajaj,4/16/2018,4:54,ROMEET_,0
0,Bajaj,4/16/2018,4:48,Muzaffar69,0
0,Bajaj,4/16/2018,4:46,stockmarketpuls,0
0,Bajaj,4/16/2018,4:30,DennisA_James,0
0,Bajaj,4/16/2018,4:29,Muzaffar69,0
0,Bajaj,4/16/2018,4:12,STOCKSTIPS,0
0,Bajaj,4/16/2018,4:07,Sajivdhawan,0.2023
0,Bajaj,4/16/2018,10:06,StockflareIN,0
0,Bajaj,4/16/2018,10:03,thenewstack,0
0,Bajaj,4/16/2018,9:23,RS8868,0
0,Bajaj,4/16/2018,6:34,Anandnst,0.4404
0,Bajaj,4/16/2018,4:33,HaganRao,0.2263
0,Bajaj,4/16/2018,4:19,reachbansal,0.6369
0,Bajaj,4/16/2018,4:13,myscribblings,0.5574
0,Bajaj,4/16/2018,4:13,evoIndia,0.5574
0,Bajaj,4/16/2018,4:04,Student4_Life,0.6199
0,Bajaj,4/16/2018,3:41,prachibane1432,0.2263
0,Bajaj,4/16/2018,1:23,Jagadheeshsingu,0.6369
0,Bajaj,4/16/2018,12:01,sahneydeepak,0.1531
0,Bajaj,4/16/2018,10:03,CNBCTV18News,0.2263
0,Bajaj,4/16/2018,9:46,sharmila_p,0
0,Bajaj,4/16/2018,9:44,CNBCTV18Live,0.2263
0,Bajaj,4/16/2018,9:43,IIFLMarkets,0
