Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of ,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
BAJAJCORP,EQ,43185,459.05,460,467,446.45,454.35,459.3,453.62,78888,"3,57,85,173.50",6017,63207,80.12
BAJAJCORP,EQ,43186,459.3,464.9,466,452.6,466,464.9,459.79,45872,"2,10,91,473.65",8424,31862,69.46
BAJAJCORP,EQ,43187,464.9,459,493.9,459,470.1,472.05,479.46,"1,05,982","5,08,14,062.90",5916,56568,53.38
BAJAJCORP,EQ,43192,472.05,486.8,486.8,467.15,470,471.4,474.21,11103,"52,65,099.85",1166,5176,46.62
BAJAJCORP,EQ,43193,471.4,466,469.95,460.05,461.1,461.5,464.9,13017,"60,51,609.95",1459,9928,76.27
BAJAJCORP,EQ,43194,461.5,466,469,458,462,461.1,461.77,16731,"77,25,876.80",1119,9053,54.11
BAJAJCORP,EQ,43195,461.1,467.9,467.9,460.05,462.75,463.1,463.54,9647,"44,71,791.15",1011,6088,63.11
BAJAJCORP,EQ,43196,463.1,460.1,464.4,457.1,459.95,457.75,460.31,66479,"3,06,00,767.75",2070,56888,85.57
BAJAJCORP,EQ,43199,457.75,457.25,487,457.25,483,479.5,472.26,50121,"2,36,70,383.40",3082,21370,42.64
BAJAJCORP,EQ,43200,479.5,484,485.95,475.4,482.75,481.55,482.19,32524,"1,56,82,767.15",2740,10680,32.84
BAJAJCORP,EQ,43201,481.55,485.45,505,475.85,498,494.9,491.69,29959,"1,47,30,530.55",1107,20554,68.61
BAJAJCORP,EQ,43202,494.9,494.25,497.95,486.35,497,496.2,495.22,22047,"1,09,18,145.95",2835,14118,64.04
BAJAJCORP,EQ,43203,496.2,500,506.95,482.2,486.55,488.2,498.67,27387,"1,36,57,163.75",1988,10839,39.58
BAJAJCORP,EQ,43206,488.2,485,489.55,472.6,476.5,477.3,480.48,18440,"88,60,131.90",1563,7509,40.72
BAJAJCORP,EQ,43207,477.3,476.55,480.8,470.65,471.55,473.6,476.31,12860,"61,25,369.65",1609,5973,46.45
BAJAJCORP,EQ,43208,473.6,473.6,480,471.55,476,475.6,476.54,28572,"1,36,15,615.85",2307,21282,74.49
