,company,date,time,username,,sentiment
0,HERO,4/17/2018,5:30,stocksnews9,,0.6523
0,HERO,4/17/2018,3:00,stocksnews9,,0.6523
0,HERO,4/17/2018,11:33,abjith_vilangil,,0.6908
0,HERO,4/17/2018,11:33,KennedyPaul79,,0.6908
0,HERO,4/17/2018,11:30,IndiaTodayNews1,,0.802
0,HERO,4/17/2018,7:35,need4geeks,,0.5574
0,HERO,4/17/2018,6:48,mydealsbucket,,0.5574
0,HERO,4/17/2018,6:42,OnlineDealTrick,,0.5574
0,HERO,4/17/2018,6:40,dealnloot,,0.8105
0,HERO,4/17/2018,6:35,Earningkart,,0.5574
0,HERO,4/17/2018,6:10,3a6ab89dee41446,,0.5574
0,HERO,4/17/2018,6:09,37d5be516114477,,0.6908
0,HERO,4/17/2018,6:09,37d5be516114477,,0.5574
0,HERO,4/17/2018,3:57,abaniku,,0.6908
0,HERO,4/17/2018,3:07,itswastik,,0.2732
0,HERO,4/17/2018,3:00,stocksnews9,,0.6523
0,HERO,4/17/2018,2:54,Subrata49263789,,0.2732
0,HERO,4/17/2018,2:53,sharebossindia,,0.8143
0,HERO,4/17/2018,2:28,BalwantBPS,,0.8221
0,HERO,4/17/2018,2:09,breakingnews_no,,0.6908
0,HERO,4/17/2018,1:58,LiveNews24x7,,0.6908
0,HERO,4/17/2018,1:48,PoliticsNext,,0.6908
0,HERO,4/17/2018,1:42,abaniku,,0.6908
0,HERO,4/16/2018,7:00,Sports_Branding,,0.5574
0,HERO,4/16/2018,5:51,Brunoblumen,,0
0,HERO,4/16/2018,5:35,KennedyPaul79,,0.6908
0,HERO,4/16/2018,5:35,abjith_vilangil,,0.6908
0,HERO,4/16/2018,5:29,SoccerFlow,,0.6908
0,HERO,4/16/2018,5:24,SportIllustrato,,0.6908
0,HERO,4/16/2018,5:22,PrimaScriptura,,0.6908
0,HERO,4/16/2018,5:21,kmongha,,0.2732
0,HERO,4/16/2018,5:21,daguvasu,,0.6908
0,HERO,4/16/2018,5:21,Lord_Shonde,,0.6908
0,HERO,4/16/2018,5:20,armawan1990,,0.6908
0,HERO,4/16/2018,5:20,FIFAgent,,0.6908
0,HERO,4/16/2018,5:20,KushaalPatel,,0.6908
0,HERO,4/16/2018,5:19,usmnt_com,,0.6908
0,HERO,4/16/2018,5:09,maxdelabre,,0
0,HERO,4/16/2018,4:56,Cleansheet,,0.6908
0,HERO,4/16/2018,4:10,INSubcontinent,,0.5574
0,HERO,4/16/2018,3:37,SkillsASDC,,0.8221
0,HERO,4/16/2018,3:27,KennedyPaul79,,0.6908
0,HERO,4/16/2018,3:27,abjith_vilangil,,0.6908
0,HERO,4/16/2018,3:08,streetvelodrome,,0
0,HERO,4/16/2018,3:07,Vsubramanian559,,0.802
0,HERO,4/16/2018,3:05,PD90LLC,,0.5574
0,HERO,4/16/2018,2:55,coyotesports12,,0
0,HERO,4/16/2018,2:54,Hero_Cycles,,0.4404
0,HERO,4/16/2018,2:53,abjith_vilangil,,0.6908
0,HERO,4/16/2018,2:53,KennedyPaul79,,0.6908
0,HERO,4/16/2018,2:47,FinancialSs,,0.5574
0,HERO,4/16/2018,2:45,miweisz,,0.5574
0,HERO,4/16/2018,2:22,abjith_vilangil,,0.6908
0,HERO,4/16/2018,2:22,KennedyPaul79,,0.6908
0,HERO,4/16/2018,2:00,divyasharma767,,0
0,HERO,4/16/2018,12:37,Vsubramanian559,,-0.4404
0,HERO,4/16/2018,12:36,Vsubramanian559,,-0.4966
0,HERO,4/16/2018,12:34,Vsubramanian559,,-0.5302
0,HERO,4/16/2018,12:31,Ritik_Here,,0.8481
0,HERO,4/16/2018,12:05,varungrover0312,,0.6705
0,HERO,4/16/2018,12:02,sportsflashes,,0.6705
0,HERO,4/16/2018,11:39,Footyshekkeer,,0.594
0,HERO,4/16/2018,11:34,sunny4u007,,0.2263
0,HERO,4/16/2018,11:29,market4sports,,0.2263
0,HERO,4/16/2018,11:21,arjunnallula,,0.4939
0,HERO,4/16/2018,10:47,AsthaChadha,,0.6908
0,HERO,4/16/2018,10:27,autobics,,0.6908
