"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HEROMOTOCO","EQ","26-Mar-2018","       3413.75","       3414.00","       3501.70","       3365.50","       3468.20","       3481.70","       3429.65","     359650","          1233472000.25","      36687","     204220","         56.78"
"HEROMOTOCO","EQ","27-Mar-2018","       3481.70","       3485.10","       3488.00","       3436.00","       3471.00","       3464.70","       3460.51","     325438","          1126182872.55","      20197","     224319","         68.93"
"HEROMOTOCO","EQ","28-Mar-2018","       3464.70","       3455.00","       3579.00","       3428.05","       3534.00","       3542.80","       3516.82","     786796","          2767016722.45","      55307","     343604","         43.67"
"HEROMOTOCO","EQ","02-Apr-2018","       3542.80","       3544.00","       3654.65","       3512.20","       3640.00","       3646.00","       3592.76","     244943","           880020770.55","      24452","      73473","         30.00"
"HEROMOTOCO","EQ","03-Apr-2018","       3646.00","       3644.95","       3669.00","       3621.00","       3640.40","       3644.95","       3642.80","     318581","          1160527924.05","      26697","     195779","         61.45"
"HEROMOTOCO","EQ","04-Apr-2018","       3644.95","       3653.50","       3695.00","       3627.00","       3646.30","       3667.15","       3671.91","     526063","          1931657762.65","      31871","     343728","         65.34"
"HEROMOTOCO","EQ","05-Apr-2018","       3667.15","       3700.00","       3796.00","       3699.95","       3790.00","       3782.15","       3753.95","     440824","          1654832345.50","      36121","     244863","         55.55"
"HEROMOTOCO","EQ","06-Apr-2018","       3782.15","       3781.00","       3787.95","       3750.00","       3761.50","       3779.45","       3773.58","     213101","           804153767.80","      16317","     122314","         57.40"
"HEROMOTOCO","EQ","09-Apr-2018","       3779.45","       3784.00","       3807.10","       3775.20","       3800.00","       3798.70","       3797.54","     265991","          1010111521.55","      23877","     194148","         72.99"
"HEROMOTOCO","EQ","10-Apr-2018","       3798.70","       3815.00","       3815.00","       3714.00","       3722.00","       3718.30","       3751.25","     321682","          1206710363.65","      36718","     208199","         64.72"
"HEROMOTOCO","EQ","11-Apr-2018","       3718.30","       3732.00","       3755.00","       3681.00","       3747.35","       3739.35","       3715.19","     291118","          1081559744.15","      11795","     183774","         63.13"
"HEROMOTOCO","EQ","12-Apr-2018","       3739.35","       3744.00","       3786.50","       3726.05","       3737.35","       3749.45","       3753.86","     115113","           432117940.05","      14309","      45018","         39.11"
"HEROMOTOCO","EQ","13-Apr-2018","       3749.45","       3759.80","       3770.00","       3698.00","       3735.65","       3725.90","       3729.40","     164961","           615205991.80","      18192","      74864","         45.38"
"HEROMOTOCO","EQ","16-Apr-2018","       3725.90","       3723.00","       3810.00","       3710.20","       3807.00","       3803.15","       3786.50","     164316","           622183147.40","      13594","      60556","         36.85"
"HEROMOTOCO","EQ","17-Apr-2018","       3803.15","       3825.00","       3825.00","       3763.15","       3765.10","       3769.00","       3782.51","     223874","           846805651.80","      23516","     139364","         62.25"
"HEROMOTOCO","EQ","18-Apr-2018","       3769.00","       3765.05","       3784.00","       3731.60","       3739.40","       3737.80","       3748.93","     204458","           766499612.30","      20797","     127988","         62.60"
