Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,VWAP,Total Traded,Turnover,No. of ,Deliverable,% Dly Qt to
,,,,,,,,,,Quantity,,Trades,Qty,Traded Qty
TCS,EQ,43185,2818.15,2819,2827.4,2781.55,2817,2817,2812.33,"14,82,105","4,16,81,64,807.60",76911,"10,46,954",70.64
TCS,EQ,43186,2817,2825,2863,2823.05,2843.8,2847.7,2845.6,"12,47,287","3,54,92,78,192.60","1,01,404","8,67,902",69.58
TCS,EQ,43187,2847.7,2835.9,2875,2825,2849.35,2849.15,2854.33,"34,32,827","9,79,84,20,780.50","1,27,771","26,54,970",77.34
TCS,EQ,43192,2849.15,2840,2914,2840,2903,2909.65,2888.94,"8,31,494","2,40,21,39,242.20",67851,"4,28,437",51.53
TCS,EQ,43193,2909.65,2892.1,2929.9,2892.1,2908.4,2911.25,2907.92,"9,68,645","2,81,67,42,760.65",49338,"6,65,363",68.69
TCS,EQ,43194,2911.25,2929.45,2934,2892,2906.9,2910.9,2914.91,"14,20,910","4,14,18,24,122.70",73678,"10,68,225",75.18
TCS,EQ,43195,2910.9,2926.55,2963.75,2920.35,2954.1,2957.95,2949.56,"9,04,712","2,66,84,99,201.95",50519,"6,19,923",68.52
TCS,EQ,43196,2957.95,2954,2960,2926.55,2939.7,2950.3,2943.69,"5,64,509","1,66,17,39,852.00",35618,"3,27,149",57.95
TCS,EQ,43199,2950.3,2939.7,2963.5,2915,2925.05,2923.9,2936.88,"6,17,933","1,81,47,96,241.20",61304,"3,77,241",61.05
TCS,EQ,43200,2923.9,2925.7,2957.25,2925.7,2933.4,2937.6,2943.58,"5,92,266","1,74,33,80,856.55",56834,"3,69,579",62.4
TCS,EQ,43201,2937.6,2950.6,3025,2945.6,3010,3014.15,2987.68,"15,62,208","4,66,73,84,473.90",79572,"9,82,143",62.87
TCS,EQ,43202,3014.15,3010,3150,3007.95,3136,3139.25,3116.29,"30,57,180","9,52,70,46,571.40","1,38,550","16,63,392",54.41
TCS,EQ,43203,3139.25,3150,3240.8,3132.1,3145.5,3153.3,3181.37,"40,89,559","13,01,04,04,291.35","1,47,501","21,42,872",52.4
TCS,EQ,43206,3153.3,3116,3199.95,3110.75,3185.05,3187.65,3169.39,"31,35,137","9,93,64,60,532.70","1,42,448","17,07,483",54.46
TCS,EQ,43207,3187.65,3187.65,3194.95,3147.2,3163.6,3166.6,3165.81,"16,50,862","5,22,63,19,906.40","1,19,475","10,77,647",65.28
TCS,EQ,43208,3166.6,3166,3193.45,3145.85,3162.7,3159.1,3166.57,"12,16,533","3,85,22,31,610.80",57846,"6,74,167",55.42
